# Market-wide pool, VERIFIED live prices from OpenRouter /models, snapshot 2026-06-19.
# Chat/instruct models only; pure reasoning/'thinking' variants excluded (finite max_tokens grading).
model_id,provider_family,tier,snapshot_date,price_in_per_mtok_usd,price_out_per_mtok_usd,context_window,notes
minimax/minimax-m2.7,minimax,cheap,2026-06-19,0.25,1,204800,verified-live-openrouter
deepseek/deepseek-v3.1-terminus,deepseek,cheap,2026-06-19,0.27,0.95,163840,verified-live-openrouter
deepseek/deepseek-v4-pro,deepseek,cheap,2026-06-19,0.435,0.87,1048576,verified-live-openrouter
xiaomi/mimo-v2.5-pro,xiaomi,cheap,2026-06-19,0.435,0.87,1048576,verified-live-openrouter
minimax/minimax-m2.5,minimax,cheap,2026-06-19,0.15,0.9,204800,verified-live-openrouter
google/gemma-2-27b-it,google,cheap,2026-06-19,0.65,0.65,8192,verified-live-openrouter
qwen/qwen-plus-2025-07-28,qwen,cheap,2026-06-19,0.26,0.78,1000000,verified-live-openrouter
deepseek/deepseek-chat-v3.1,deepseek,cheap,2026-06-19,0.21,0.79,163840,verified-live-openrouter
meta-llama/llama-4-maverick,meta,cheap,2026-06-19,0.15,0.6,1048576,verified-live-openrouter
upstage/solar-pro-3,upstage,cheap,2026-06-19,0.15,0.6,128000,verified-live-openrouter
nvidia/llama-3.3-nemotron-super-49b-v1.5,nvidia,cheap,2026-06-19,0.4,0.4,131072,verified-live-openrouter
meta-llama/llama-3.1-70b-instruct,meta,cheap,2026-06-19,0.4,0.4,131072,verified-live-openrouter
nvidia/nemotron-3-super-120b-a12b,nvidia,cheap,2026-06-19,0.09,0.45,1000000,verified-live-openrouter
nousresearch/hermes-4-70b,nous,cheap,2026-06-19,0.13,0.4,131072,verified-live-openrouter
deepseek/deepseek-v3.2,deepseek,cheap,2026-06-19,0.2288,0.3432,131072,verified-live-openrouter
openai/gpt-5-nano,openai,cheap,2026-06-19,0.05,0.4,400000,verified-live-openrouter
microsoft/phi-4-mini-instruct,microsoft,cheap,2026-06-19,0.08,0.35,131072,verified-live-openrouter
meta-llama/llama-3.3-70b-instruct,meta,cheap,2026-06-19,0.1,0.32,131072,verified-live-openrouter
meta-llama/llama-3.2-3b-instruct,meta,cheap,2026-06-19,0.0509,0.335,131072,verified-live-openrouter
nvidia/nemotron-3-nano-30b-a3b,nvidia,cheap,2026-06-19,0.05,0.2,262144,verified-live-openrouter
deepseek/deepseek-v4-flash,deepseek,cheap,2026-06-19,0.09,0.18,1048576,verified-live-openrouter
openai/gpt-oss-120b,openai,cheap,2026-06-19,0.039,0.18,131072,verified-live-openrouter
openai/gpt-oss-20b,openai,cheap,2026-06-19,0.029,0.14,131072,verified-live-openrouter
google/gemma-3n-e4b-it,google,cheap,2026-06-19,0.06,0.12,32768,verified-live-openrouter
qwen/qwen3-235b-a22b-2507,qwen,cheap,2026-06-19,0.09,0.1,262144,verified-live-openrouter
ibm-granite/granite-4.0-h-micro,ibm,cheap,2026-06-19,0.017,0.112,131000,verified-live-openrouter
ibm-granite/granite-4.1-8b,ibm,cheap,2026-06-19,0.05,0.1,131072,verified-live-openrouter
mistralai/mistral-small-24b-instruct-2501,mistral,cheap,2026-06-19,0.05,0.08,32768,verified-live-openrouter
meta-llama/llama-3.1-8b-instruct,meta,cheap,2026-06-19,0.02,0.03,131072,verified-live-openrouter
mistralai/mistral-nemo,mistral,cheap,2026-06-19,0.02,0.03,131072,verified-live-openrouter
inclusionai/ling-2.6-flash,inclusionai,cheap,2026-06-19,0.01,0.03,262144,verified-live-openrouter
